,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,"MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4",MobRob:Marker1,MobRob:Marker1,MobRob:Marker1,MobRob:Marker2,MobRob:Marker2,MobRob:Marker2,MobRob:Marker3,MobRob:Marker3,MobRob:Marker3,MobRob:Marker4,MobRob:Marker4,MobRob:Marker4,Unlabeled 1353,Unlabeled 1353,Unlabeled 1353
,ID,"56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","C3A40","C3A40","C3A40","C3AA0","C3AA0","C3AA0","C3A90","C3A90","C3A90","C36E0","C36E0","C36E0","C3DA0","C3DA0","C3DA0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8,0.066667,93.635956,-0.950365,0.314550,0.061794,0.156234,0.099772,0.001042,-0.026907,0.150261,0.260100,0.398574,0.137444,0.158983,0.099709,0.571424,0.026278,0.161886,0.145996,0.532607,-0.006478,0.151380,0.097906,0.331999,-0.027312,0.148244,0.261397,0.136989,0.157737,0.100767,0.025731,0.160362,0.146868,-0.006808,0.149810,0.100046,,,
9,0.075000,93.638374,-0.952524,0.317827,0.061804,0.156250,0.099748,0.001043,-0.026890,0.150264,0.260080,0.391891,0.137454,0.159001,0.099682,0.575819,0.026290,0.161897,0.145975,0.540299,-0.006468,0.151393,0.097885,0.331206,-0.027302,0.148254,0.261363,0.136994,0.157739,0.100751,0.025729,0.160347,0.146880,-0.006812,0.149815,0.100021,,,
10,0.083333,93.635147,-0.948837,0.315966,0.061789,0.156231,0.099769,0.001041,-0.026914,0.150256,0.260096,0.395038,0.137440,0.158977,0.099707,0.570789,0.026274,0.161882,0.145993,0.529806,-0.006483,0.151378,0.097902,0.330514,-0.027302,0.148252,0.261368,0.136978,0.157727,0.100770,0.025723,0.160349,0.146887,-0.006821,0.149809,0.100043,,,
11,0.091667,93.636848,-0.955172,0.314195,0.061794,0.156243,0.099753,0.001043,-0.026904,0.150263,0.260083,0.398536,0.137444,0.158998,0.099689,0.573805,0.026279,0.161891,0.145978,0.535488,-0.006478,0.151383,0.097888,0.330965,-0.027296,0.148267,0.261340,0.136983,0.157732,0.100774,0.025717,0.160346,0.146881,-0.006815,0.149816,0.100021,,,
12,0.100000,93.638420,-0.957718,0.319895,0.061799,0.156266,0.099748,0.001044,-0.026894,0.150266,0.260080,0.396705,0.137449,0.159024,0.099682,0.569787,0.026285,0.161908,0.145975,0.530093,-0.006472,0.151404,0.097885,0.323194,-0.027298,0.148258,0.261355,0.136989,0.157761,0.100756,0.025719,0.160357,0.146873,-0.006823,0.149809,0.100044,,,
13,0.108333,93.639145,-0.953153,0.312679,0.061787,0.156238,0.099758,0.001038,-0.026905,0.150266,0.260091,0.395274,0.137437,0.158991,0.099691,0.576535,0.026274,0.161889,0.145985,0.534762,-0.006485,0.151380,0.097896,0.338944,-0.027303,0.148254,0.261374,0.136982,0.157748,0.100748,0.025723,0.160355,0.146883,-0.006816,0.149826,0.100009,,,
14,0.116667,93.635147,-0.954910,0.310206,0.061791,0.156228,0.099769,0.001043,-0.026912,0.150259,0.260096,0.396499,0.137441,0.158984,0.099707,0.573003,0.026274,0.161880,0.145993,0.536663,-0.006481,0.151368,0.097902,0.326768,-0.027293,0.148246,0.261373,0.136985,0.157731,0.100775,0.025730,0.160350,0.146886,-0.006823,0.149787,0.100055,,,
15,0.125000,93.635727,-0.956289,0.313381,0.061785,0.156236,0.099766,0.001043,-0.026916,0.150256,0.260093,0.393953,0.137435,0.158993,0.099703,0.571454,0.026269,0.161884,0.145990,0.541012,-0.006487,0.151374,0.097899,0.328255,-0.027306,0.148236,0.261377,0.136977,0.157736,0.100775,0.025727,0.160366,0.146869,-0.006828,0.149795,0.100046,,,
16,0.133333,93.637962,-0.951378,0.313703,0.061787,0.156232,0.099763,0.001046,-0.026908,0.150260,0.260094,0.393953,0.137437,0.158982,0.099697,0.571454,0.026273,0.161883,0.145988,0.541012,-0.006485,0.151376,0.097899,0.328255,-0.027304,0.148241,0.261381,0.136980,0.157728,0.100765,0.025726,0.160348,0.146880,-0.006814,0.149811,0.100031,,,
17,0.141667,93.638123,-0.956705,0.315125,0.061792,0.156245,0.099750,0.001044,-0.026902,0.150260,0.260081,0.393454,0.137442,0.159002,0.099684,0.572607,0.026278,0.161892,0.145976,0.535597,-0.006479,0.151383,0.097886,0.333527,-0.027297,0.148257,0.261346,0.136977,0.157735,0.100771,0.025728,0.160350,0.146871,-0.006814,0.149818,0.100015,,,
