,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,"MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4",MobRob:Marker1,MobRob:Marker1,MobRob:Marker1,MobRob:Marker2,MobRob:Marker2,MobRob:Marker2,MobRob:Marker3,MobRob:Marker3,MobRob:Marker3,MobRob:Marker4,MobRob:Marker4,MobRob:Marker4
,ID,"56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","C4E30","C4E30","C4E30","C4D80","C4D80","C4D80","C4E50","C4E50","C4E50","C4E70","C4E70","C4E70"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8,0.066667,96.809586,-0.625515,0.238927,0.132346,0.157069,0.064311,0.000925,0.052624,0.151859,0.229314,0.679752,0.207891,0.159396,0.060057,0.636423,0.099475,0.162995,0.112419,0.523664,0.064050,0.152592,0.066236,0.422058,0.053141,0.153029,0.229316,0.207571,0.158252,0.060945,0.099061,0.161531,0.113527,0.063792,0.151110,0.068025
9,0.075000,96.807014,-0.627625,0.234667,0.132346,0.157064,0.064316,0.000928,0.052616,0.151862,0.229315,0.680173,0.207890,0.159394,0.060064,0.629293,0.099472,0.162992,0.112422,0.529408,0.064049,0.152584,0.066238,0.415688,0.053116,0.153027,0.229314,0.207578,0.158265,0.060936,0.099052,0.161523,0.113540,0.063810,0.151126,0.067996
10,0.083333,96.810219,-0.624223,0.235238,0.132350,0.157065,0.064309,0.000931,0.052629,0.151868,0.229313,0.680233,0.207894,0.159391,0.060053,0.633586,0.099479,0.162995,0.112417,0.528807,0.064053,0.152589,0.066234,0.420296,0.053135,0.153042,0.229318,0.207574,0.158258,0.060927,0.099076,0.161524,0.113524,0.063805,0.151119,0.068010
11,0.091667,96.810669,-0.627643,0.233997,0.132350,0.157070,0.064307,0.000929,0.052630,0.151870,0.229312,0.678952,0.207894,0.159400,0.060051,0.632178,0.099479,0.162999,0.112415,0.527998,0.064053,0.152590,0.066233,0.424574,0.053146,0.153046,0.229314,0.207579,0.158265,0.060932,0.099064,0.161532,0.113529,0.063805,0.151126,0.067992
12,0.100000,96.808830,-0.627366,0.233989,0.132343,0.157060,0.064317,0.000927,0.052618,0.151861,0.229319,0.678952,0.207887,0.159390,0.060063,0.632178,0.099471,0.162989,0.112424,0.527998,0.064046,0.152581,0.066241,0.424574,0.053121,0.153023,0.229318,0.207570,0.158267,0.060928,0.099069,0.161523,0.113539,0.063797,0.151118,0.067998
13,0.108333,96.808739,-0.632725,0.231936,0.132348,0.157067,0.064314,0.000929,0.052623,0.151864,0.229315,0.683342,0.207892,0.159405,0.060060,0.636875,0.099475,0.162995,0.112420,0.528573,0.064052,0.152581,0.066237,0.425046,0.053130,0.153037,0.229322,0.207582,0.158284,0.060920,0.099062,0.161524,0.113533,0.063801,0.151111,0.068004
14,0.116667,96.810097,-0.628777,0.237904,0.132354,0.157073,0.064304,0.000930,0.052633,0.151861,0.229307,0.680942,0.207898,0.159404,0.060049,0.633826,0.099483,0.162998,0.112412,0.536793,0.064058,0.152592,0.066229,0.414007,0.053141,0.153031,0.229309,0.207579,0.158273,0.060923,0.099079,0.161550,0.113495,0.063805,0.151103,0.068022
15,0.125000,96.808372,-0.631774,0.231785,0.132353,0.157070,0.064311,0.000932,0.052627,0.151869,0.229312,0.680368,0.207897,0.159406,0.060057,0.629311,0.099480,0.162998,0.112417,0.525835,0.064057,0.152585,0.066234,0.427548,0.053131,0.153044,0.229318,0.207576,0.158263,0.060946,0.099064,0.161520,0.113531,0.063816,0.151130,0.067986
16,0.133333,96.806328,-0.625645,0.235483,0.132342,0.157068,0.064317,0.000928,0.052610,0.151867,0.229315,0.680368,0.207887,0.159395,0.060067,0.629311,0.099468,0.162997,0.112423,0.525835,0.064046,0.152590,0.066238,0.427548,0.053126,0.153034,0.229320,0.207569,0.158266,0.060941,0.099067,0.161539,0.113516,0.063800,0.151130,0.067994
17,0.141667,96.811081,-0.630815,0.232962,0.132343,0.157077,0.064308,0.000928,0.052625,0.151875,0.229313,0.681445,0.207887,0.159412,0.060051,0.635284,0.099473,0.163005,0.112416,0.529560,0.064047,0.152593,0.066235,0.426137,0.053134,0.153043,0.229313,0.207573,0.158283,0.060921,0.099063,0.161538,0.113522,0.063803,0.151136,0.067991
