Format Version,1.23,Take Name,RotationTest_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-09 01.37.45.963 PM,Capture Start Frame,996143,Total Frames in Take,4513,Total Exported Frames,4513,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-151.407654,-0.464645,-1.068664,0.283842,0.156508,0.417574,0.000318,0.186316,0.158726,0.396123,0.892502,0.271679,0.163830,0.478161,0.898113,0.280995,0.150914,0.418804,0.914435,0.396379,0.152561,0.377209,0.925229,0.186208,0.158653,0.395713,0.271775,0.163782,0.478554,0.280901,0.151085,0.419085,0.396489,0.152503,0.376937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-151.408020,-0.464719,-1.071517,0.283837,0.156500,0.417580,0.000330,0.186311,0.158715,0.396128,0.894065,0.271673,0.163821,0.478166,0.898980,0.280990,0.150906,0.418809,0.916013,0.396375,0.152560,0.377215,0.922327,0.186194,0.158644,0.395726,0.271755,0.163774,0.478559,0.280902,0.151073,0.419087,0.396501,0.152502,0.376937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-151.412201,-0.460887,-1.058742,0.283837,0.156497,0.417585,0.000311,0.186313,0.158724,0.396126,0.894065,0.271670,0.163829,0.478169,0.898980,0.280989,0.150903,0.418815,0.916013,0.396377,0.152531,0.377229,0.922327,0.186204,0.158647,0.395718,0.271764,0.163776,0.478557,0.280906,0.151087,0.419095,0.396479,0.152470,0.376961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-151.411041,-0.461679,-1.066387,0.283850,0.156503,0.417570,0.000321,0.186325,0.158720,0.396113,0.892772,0.271683,0.163829,0.478155,0.899503,0.281002,0.150909,0.418800,0.913791,0.396390,0.152552,0.377211,0.926811,0.186208,0.158647,0.395700,0.271779,0.163779,0.478539,0.280911,0.151083,0.419093,0.396506,0.152494,0.376936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-151.404800,-0.458846,-1.071388,0.283862,0.156511,0.417561,0.000336,0.186334,0.158719,0.396115,0.891315,0.271701,0.163837,0.478148,0.900404,0.281015,0.150917,0.418792,0.911813,0.396397,0.152572,0.377191,0.923943,0.186213,0.158652,0.395707,0.271793,0.163794,0.478540,0.280916,0.151073,0.419078,0.396531,0.152518,0.376910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-151.405472,-0.459288,-1.070245,0.283857,0.156510,0.417565,0.000337,0.186330,0.158720,0.396118,0.892293,0.271695,0.163836,0.478152,0.898837,0.281010,0.150916,0.418796,0.914880,0.396393,0.152568,0.377196,0.921216,0.186204,0.158646,0.395714,0.271783,0.163787,0.478551,0.280925,0.151090,0.419066,0.396520,0.152508,0.376922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-151.409317,-0.470265,-1.072557,0.283845,0.156512,0.417563,0.000333,0.186319,0.158731,0.396109,0.893010,0.271680,0.163827,0.478150,0.897705,0.280998,0.150918,0.418792,0.916014,0.396384,0.152571,0.377201,0.922126,0.186201,0.158661,0.395704,0.271766,0.163781,0.478548,0.280908,0.151083,0.419070,0.396511,0.152514,0.376922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-151.409073,-0.467188,-1.064548,0.283838,0.156496,0.417578,0.000324,0.186312,0.158722,0.396125,0.893108,0.271674,0.163819,0.478165,0.898815,0.280990,0.150902,0.418808,0.914873,0.396376,0.152540,0.377216,0.923778,0.186196,0.158648,0.395720,0.271758,0.163769,0.478557,0.280908,0.151079,0.419087,0.396492,0.152479,0.376941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-151.410858,-0.459123,-1.056351,0.283836,0.156490,0.417590,0.000298,0.186311,0.158718,0.396133,0.893574,0.271670,0.163825,0.478175,0.900012,0.280987,0.150896,0.418821,0.916378,0.396374,0.152519,0.377232,0.932685,0.186200,0.158636,0.395730,0.271777,0.163769,0.478556,0.280910,0.151088,0.419084,0.396459,0.152456,0.376984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-151.414642,-0.460058,-1.061074,0.283850,0.156500,0.417576,0.000321,0.186327,0.158723,0.396113,0.891068,0.271680,0.163832,0.478161,0.896759,0.281002,0.150907,0.418806,0.916195,0.396392,0.152540,0.377225,0.926730,0.186210,0.158648,0.395700,0.271775,0.163783,0.478559,0.280925,0.151082,0.419082,0.396494,0.152480,0.376957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
